No,性別,年代区分,住居状況区分,家族状況区分,家族人数区分,家族同居区分,年収区分,勤務形態区分,申込経路,申請理由,引上率,審査結果,申請有無
217,1,20代,5,2,1,2,2,02,2,9,1,4,0
218,1,80代,1,1,2,1,1,08,2,0,2,1,0
219,1,40代,1,1,3,1,4,02,3,8,2,2,1
220,1,60代,1,1,3,1,3,02,2,6,2.023076923,1,0
221,1,60代,1,1,2,1,9,01,2,14,2.941176471,1,0
222,2,40代,1,1,3,0,0,05,2,0,1.333333333,1,0
223,1,40代,5,1,2,1,4,02,2,0,3.625,1,0
224,2,40代,2,1,3,1,0,04,2,3,1.909090909,1,0
226,1,50代,1,1,4,1,5,02,3,0,2.363636364,1,0
227,2,50代,2,2,3,9,2,02,2,15,1.363636364,1,0
228,1,40代,2,1,3,1,3,02,2,3,1.571428571,1,0
229,2,20代,2,2,3,1,0,06,2,0,1.333333333,1,0
230,1,40代,1,1,3,1,3,02,3,3,1.625,1,0
231,1,80代,1,1,2,9,2,08,2,0,2,2,0
232,2,30代,1,1,4,1,0,04,2,7,1.5,1,0
233,2,70代,1,1,3,9,3,05,2,2,1.569230769,1,0
234,2,30代,2,1,3,1,1,03,2,15,1.25,2,0
235,2,40代,2,2,4,1,0,04,3,0,1,6,0
236,2,20代,2,2,4,1,1,02,3,4,1.75,1,0
238,2,40代,2,1,3,1,1,07,3,2,1.75,1,0
239,2,50代,1,2,1,1,4,03,2,4,2,1,0
240,2,50代,2,2,3,1,0,11,2,3,1.428571429,1,0
241,2,60代,1,2,1,2,4,02,3,0,2.25,1,0
243,2,40代,1,1,4,1,2,01,3,1,1.454545455,1,0
244,1,70代,5,1,2,1,3,08,2,2,1,4,0
245,2,50代,5,2,1,2,4,02,2,14,1.538461538,1,0
246,2,20代,2,2,2,1,0,06,3,1,1,4,1
247,2,40代,5,1,2,1,2,12,3,1,1,4,0
248,2,30代,1,2,3,1,1,02,3,2,1.111111111,1,1
250,1,30代,1,2,1,1,6,02,2,8,2,2,0
251,1,30代,1,2,2,1,4,02,2,2,1.555555556,1,0
252,1,30代,7,2,1,2,1,02,2,3,2.714285714,1,0
253,2,50代,1,1,2,1,9,10,2,12,1,4,1
254,2,60代,1,1,3,1,3,03,2,14,1,4,0
255,2,50代,1,1,2,1,9,10,2,12,4.115384615,1,1
256,1,60代,1,1,2,1,1,08,2,6,1.904761905,2,1
257,2,60代,1,1,3,1,3,03,2,14,1.005,2,0
258,1,20代,7,2,1,2,2,02,3,12,1,4,1
259,2,40代,1,1,4,1,3,02,3,7,1,4,0
260,2,40代,2,2,1,1,3,02,3,3,2.5,1,0
261,2,40代,6,2,2,1,3,02,3,0,1.25,2,0
262,1,20代,3,2,1,2,1,02,3,3,2.05,1,0
263,1,30代,5,2,1,1,3,03,3,8,1.666666667,2,0
264,1,70代,1,1,2,1,3,08,3,0,1,4,0
265,1,10代,3,2,3,2,0,06,3,2,1,4,0
266,2,20代,2,2,4,1,1,02,3,1,2.333333333,1,0
267,2,20代,6,2,4,1,0,06,3,1,3,1,0
268,2,50代,5,2,1,2,0,05,3,0,4.333333333,1,0
269,1,30代,1,1,4,1,3,02,3,1,1.1875,1,0
270,1,50代,1,1,9,9,0,02,3,10,1,6,0
271,2,20代,5,2,1,1,2,02,3,2,1.2,1,1
272,1,60代,1,1,2,1,1,08,2,0,1.275,1,0
273,1,70代,4,1,2,1,1,08,2,0,2,1,1
274,2,20代,2,2,4,1,3,02,2,7,1.6,1,1
275,1,70代,6,1,2,1,2,02,2,8,1,4,0
276,1,60代,1,1,4,1,2,12,2,2,3,1,0
277,1,60代,1,1,2,1,1,08,2,6,1,4,1
278,2,20代,5,1,1,1,2,02,3,11,3.666666667,1,0
279,2,30代,7,2,1,1,1,02,3,3,2,1,0
280,2,40代,2,1,4,1,0,04,2,9,3.857142857,1,0
281,2,40代,2,1,3,1,1,02,3,1,2.666666667,1,0
282,1,40代,1,1,2,1,7,02,2,2,2.538461538,1,0
283,2,30代,2,2,1,1,3,02,3,4,1.1625,1,1
284,1,20代,6,1,1,1,2,03,3,11,4.375,2,0
285,2,50代,2,1,3,1,0,07,3,6,4.333333333,1,0
286,1,20代,2,2,4,2,1,02,3,2,4,1,0
287,2,70代,4,2,1,2,0,08,2,0,6,1,0
288,2,50代,5,1,3,1,4,02,2,10,1.739130435,2,0
289,2,40代,2,1,3,1,0,07,3,10,2,1,0
290,2,40代,7,2,1,2,3,02,2,6,1.5,1,0
291,1,40代,2,1,4,1,9,01,2,8,2.111111111,1,0
292,2,40代,6,2,2,1,3,02,3,0,1,4,0
293,2,20代,5,2,1,2,2,02,2,0,1.828571429,1,1
294,2,40代,1,2,3,1,0,11,2,10,1.307692308,1,0
295,2,50代,1,1,4,1,1,12,3,0,2,1,0
296,2,30代,5,2,1,2,1,02,3,1,1,4,0
297,2,50代,5,2,1,2,1,12,3,5,1,4,0
298,2,40代,1,1,3,1,4,02,2,15,4.35,1,0
299,1,60代,1,1,2,1,6,02,2,2,4,1,0
300,1,40代,5,1,2,1,7,02,3,0,1,4,0
301,1,60代,1,1,2,1,1,02,2,9,2.5,1,0
302,1,40代,5,1,3,0,3,02,2,1,1.333333333,1,0
303,2,50代,2,2,4,1,2,02,3,1,1.4,1,1
304,1,40代,2,1,4,1,4,02,2,15,1.466666667,1,0
305,1,50代,5,1,2,1,5,10,2,0,2.666666667,1,0
306,2,30代,6,1,1,1,2,02,3,8,2.5,1,0
307,1,50代,1,1,3,9,5,02,2,15,2,1,0
308,2,20代,5,2,1,2,0,06,2,0,1,4,0
309,2,20代,2,2,3,1,0,06,3,1,1.6,1,0
310,2,40代,5,2,1,2,1,02,2,2,1.333333333,1,0
311,2,30代,2,1,4,1,1,02,3,0,2.5,1,0
312,1,20代,7,1,2,1,2,02,3,11,4.545454545,2,0
313,2,30代,2,2,3,2,2,02,2,0,1.85,1,0
314,2,40代,1,1,2,1,0,04,2,0,3,1,0
