No,性別,年代区分,住居状況区分,家族状況区分,家族人数区分,家族同居区分,年収区分,勤務形態区分,申込経路,申請理由,引上率,審査結果,申請有無
13061,1,30代,7,1,2,1,2,02,2,9,1.32,1,
13062,1,70代,1,1,4,1,9,01,2,0,1.75,1,
13063,2,40代,2,2,2,1,1,02,3,2,2.166666667,1,
13064,1,30代,5,1,3,2,4,01,3,5,1,4,
13065,2,70代,1,1,2,1,0,04,2,9,2.222222222,2,
13066,2,30代,2,2,2,1,0,11,3,6,1.666666667,2,
13067,1,40代,2,1,4,1,3,02,2,3,1.909090909,1,
13068,2,60代,1,1,2,1,0,08,2,5,1.01,1,
13069,1,30代,7,1,2,1,2,03,2,5,1.015,1,
13070,2,20代,2,2,4,1,2,02,3,17,1.714285714,1,
13071,1,40代,1,1,4,1,4,02,3,8,1,6,
13072,2,30代,5,2,1,2,2,02,2,0,3.5,1,
13073,1,40代,1,1,2,1,9,02,3,6,1.218181818,1,
13074,1,40代,1,2,1,2,3,02,3,0,1,4,
13075,2,20代,2,2,3,1,1,03,3,17,2.25,1,
13076,1,40代,5,1,4,1,6,02,3,13,2.222222222,2,
13077,1,40代,1,1,4,1,8,10,3,14,2,1,
13078,1,20代,2,2,1,1,8,02,3,1,1,4,
13079,1,60代,1,1,2,1,3,02,3,4,1,4,
13080,2,30代,2,2,2,1,1,02,3,1,1.333333333,1,
13081,1,50代,7,1,1,2,4,03,3,1,1.555555556,1,
13082,2,50代,2,2,2,1,3,02,3,0,2.071428571,1,
13083,1,40代,3,1,2,1,5,02,3,3,1.615384615,1,
13084,2,70代,1,2,1,1,1,08,3,0,1.625,1,
13085,2,20代,5,2,1,2,2,02,3,10,1,4,
13086,1,40代,1,1,4,1,9,02,3,5,1.033333333,2,
13087,2,40代,2,1,2,1,1,02,3,0,1.763636364,1,
13088,1,40代,1,1,3,1,4,02,3,14,1.375,2,
13089,1,50代,3,2,1,1,9,01,3,0,2,2,
13090,1,10代,2,2,2,1,6,01,3,7,1,4,
13091,2,50代,2,1,3,1,1,07,3,7,1.125,1,
13092,2,30代,1,1,3,1,2,02,3,0,1.085714286,1,
13093,2,20代,2,2,3,1,2,02,3,4,1.133333333,2,
13094,1,40代,3,1,9,9,0,02,3,0,1,6,
13095,1,30代,5,1,1,1,9,10,3,1,1,4,
13096,1,30代,1,1,3,1,4,02,3,0,1.2,1,
13097,1,20代,2,2,1,1,1,02,3,1,1,4,
13098,2,20代,5,2,1,2,0,06,3,10,2.666666667,1,
13099,2,40代,2,2,2,1,3,02,3,1,1,4,
13101,1,50代,3,1,4,1,6,02,3,6,2.666666667,2,
13102,2,20代,2,2,3,1,1,02,3,4,1,4,
13103,1,20代,2,2,4,1,1,02,3,4,1.266666667,1,
13104,2,60代,1,2,1,2,5,12,3,1,1.6,1,
13107,1,40代,5,2,1,2,3,02,3,13,1,4,
13108,1,50代,5,1,3,1,9,01,3,1,1.5,2,
13109,1,40代,2,2,1,1,9,02,3,2,1,4,
13110,2,30代,3,2,1,2,1,02,3,6,1.25,1,
13111,2,50代,7,1,2,2,0,07,3,6,2.111111111,1,
13112,1,20代,2,2,4,1,2,02,2,13,1.571428571,1,
13113,1,40代,1,1,4,1,4,02,2,8,3.125,2,
13114,1,50代,1,1,2,1,5,01,2,0,1.875,2,
13115,1,60代,1,1,4,1,2,12,2,6,1.16957606,1,
13116,1,60代,1,1,3,1,2,12,2,13,5,1,
13117,1,60代,1,1,2,1,4,02,3,2,1.333333333,1,
13118,2,30代,5,2,3,1,2,02,3,1,1.066666667,2,
13119,2,30代,5,2,3,1,2,02,3,0,1,4,
13120,2,30代,4,2,2,2,6,01,2,3,1,4,
13121,2,50代,1,1,2,1,4,02,3,0,1.3,1,
13122,2,30代,2,2,3,1,5,01,2,2,1.25,1,
13123,1,40代,3,1,4,1,9,01,2,12,1,4,
13124,2,10代,2,2,3,1,1,02,2,4,4.5,2,
13125,2,20代,7,2,1,1,1,02,2,17,1.222222222,2,
13126,2,30代,2,2,3,1,1,05,3,16,1.142857143,1,
13127,1,40代,1,1,3,1,4,01,3,0,1.818181818,1,
13128,1,40代,7,1,4,1,4,02,2,13,2.444444444,1,
13129,1,30代,2,2,1,1,2,02,3,4,1.125,1,
13130,1,40代,1,1,3,1,4,02,3,13,1,4,
13131,1,20代,5,2,4,2,2,02,3,8,1.333333333,2,
13132,2,70代,1,2,1,1,1,08,2,0,2.5,1,
13133,1,20代,5,2,1,2,2,02,3,0,1.5,1,
13134,2,50代,1,1,3,1,1,02,3,1,1.125,1,
13135,2,40代,1,1,4,1,3,03,3,7,1.048780488,1,
13136,1,20代,3,2,1,2,2,02,3,11,25,2,
13137,1,30代,5,1,4,1,9,02,2,6,3.5,1,
13138,1,40代,1,1,4,1,3,02,3,3,1,6,
13139,2,60代,1,1,2,1,9,01,2,7,3.153846154,1,
13140,1,40代,1,1,4,1,4,02,2,4,1.333333333,1,
13141,2,40代,2,1,4,1,0,07,2,3,2.416666667,1,
13142,1,40代,3,1,4,1,4,02,2,4,1,4,
13143,1,60代,1,1,3,1,3,01,2,0,1.666666667,1,
13144,2,40代,2,1,4,1,5,03,2,0,2.333333333,1,
13145,1,30代,2,2,4,1,0,12,3,2,1,4,
13146,1,60代,1,1,2,1,1,08,2,6,1.946153846,1,
13147,1,30代,6,1,4,1,9,01,2,2,1.638888889,1,
13148,2,50代,2,1,2,1,0,04,3,1,2.25,1,
13149,2,20代,5,2,1,1,1,07,2,6,1.642857143,1,
13150,1,30代,2,2,4,1,1,02,3,8,2.8,1,
13151,1,40代,1,1,2,1,6,02,3,2,1.375,1,
13152,1,20代,3,2,1,2,2,02,3,1,1.25,1,
13153,2,20代,5,2,1,2,2,02,3,5,1,4,
13154,1,50代,2,2,2,1,5,11,3,3,1,6,
13156,2,20代,2,2,2,1,1,02,3,4,1.222222222,1,
13157,2,20代,7,2,1,1,0,06,3,0,1,4,
13158,2,20代,5,2,1,2,1,02,3,6,2.5,1,
13159,1,40代,4,2,1,2,4,02,3,12,1.454545455,1,
13160,1,70代,2,1,2,1,2,02,3,0,1,4,
13161,1,60代,1,1,9,9,4,02,3,14,1.142857143,2,
13162,1,50代,1,1,3,1,5,02,3,18,1.8,1,
13163,1,50代,2,1,2,1,9,10,3,12,1,6,
13164,1,40代,1,1,3,1,2,02,3,4,1,4,
13165,2,40代,1,1,2,1,1,02,3,5,1.066666667,1,
13166,1,40代,1,2,1,1,3,02,3,1,1,4,
13167,2,20代,2,2,3,1,1,02,3,1,1,4,
13168,1,20代,1,2,2,1,1,02,3,8,1,4,
13169,2,20代,2,2,4,1,2,02,3,1,1.333333333,1,
13170,1,50代,1,1,2,1,3,02,3,0,1.727272727,1,
13171,2,20代,2,2,4,1,2,02,3,4,1.6,1,
13173,2,10代,2,2,3,1,0,06,3,17,1,4,
13174,1,60代,1,1,2,1,9,01,3,13,1,4,
13175,2,40代,2,0,9,9,0,02,3,10,1,4,
13176,2,30代,2,2,1,1,3,02,3,4,1.1625,1,
13177,1,40代,5,1,4,1,3,02,3,1,2.857142857,2,
13178,2,80代,1,2,1,1,0,08,2,0,1.127272727,1,
13179,1,10代,2,2,4,1,0,06,2,0,1,4,
13180,1,50代,1,1,4,1,4,02,2,0,1.769230769,1,
13181,2,60代,1,2,1,1,2,02,2,0,2.383333333,1,
13182,1,70代,1,2,1,1,1,08,2,0,1.470588235,2,
13183,2,20代,2,2,1,1,2,02,3,4,1.5,1,
13184,1,60代,1,1,2,1,0,11,2,13,2,1,
13185,1,30代,6,1,2,1,2,03,2,0,1.8,1,
13186,1,50代,5,1,2,1,4,02,2,0,2.25,1,
13187,2,50代,2,2,1,1,2,05,2,0,6,1,
13188,2,60代,1,1,2,1,4,01,2,1,3.333333333,2,
13189,1,30代,1,1,4,1,3,02,2,1,1.772727273,1,
13190,2,20代,2,2,3,1,0,06,2,1,1,4,
13191,1,20代,5,1,2,1,2,02,2,11,8.333333333,2,
13192,2,50代,1,1,4,1,4,10,2,6,3.5,1,
13193,2,40代,5,0,2,1,3,02,3,0,1,4,
13194,1,30代,5,2,1,2,1,02,3,5,1.6,2,
13195,2,50代,1,2,1,9,3,02,2,3,2.071428571,1,
13196,1,50代,1,1,3,0,5,02,2,4,1.066666667,1,
13197,1,50代,1,1,4,1,9,10,2,12,1,4,
13198,1,60代,1,2,2,1,6,02,3,6,2.428571429,1,
13199,2,70代,2,1,2,1,0,04,2,1,1.833333333,1,
13200,2,60代,2,1,2,1,1,02,2,3,1.625,1,
13201,2,40代,1,1,2,1,3,02,2,3,1.363636364,1,
13202,1,30代,5,2,1,1,3,02,3,2,1,4,
13203,1,30代,3,2,1,2,4,02,3,0,1.230769231,1,
13204,2,40代,1,1,9,9,0,04,3,0,2.5,1,
13206,1,50代,2,1,2,1,9,10,2,12,2.5,2,
13207,1,60代,1,1,2,1,3,12,3,5,1.25,1,
13208,1,50代,1,1,2,2,5,02,2,2,1.75,1,
13209,2,20代,2,2,3,1,0,06,3,1,1.75,1,
13210,1,20代,2,2,1,1,1,02,3,1,1,4,
13211,2,50代,2,1,2,1,0,05,2,15,2.416666667,1,
13212,1,40代,2,1,3,1,8,01,3,16,1,4,
13213,2,40代,1,1,4,1,9,01,3,0,1,4,
13214,2,40代,2,1,4,1,3,02,2,14,1.566666667,1,
13215,1,30代,1,1,4,1,4,02,2,0,1.125,1,
13216,2,20代,7,2,1,2,0,06,3,1,1.25,1,
13217,1,20代,5,2,1,1,0,06,2,5,1.08,1,
13218,1,30代,5,1,2,1,4,02,3,0,2.7,1,
13219,2,50代,1,1,4,1,0,04,2,13,1.125,1,
13220,1,60代,1,1,2,1,6,02,2,8,1.681818182,1,
13221,2,20代,2,2,4,1,0,06,3,3,4.75,1,
13222,1,60代,1,2,2,1,4,02,2,12,1,4,
13223,2,40代,2,1,4,0,2,05,2,9,1.116666667,1,
13224,2,50代,5,1,2,1,2,02,2,6,3,1,
13225,2,80代,1,2,1,1,0,08,2,14,1.1125,1,
13226,2,50代,2,1,2,1,0,04,2,9,1.4,1,
13227,2,60代,2,2,1,1,1,05,2,14,3,1,
13228,1,40代,1,1,4,1,3,02,2,3,1.714285714,1,
13229,2,40代,1,2,1,2,5,02,2,1,3,1,
13230,2,60代,2,1,2,1,0,04,2,3,2.875,1,
13231,1,50代,2,2,2,1,0,11,2,3,2,2,
13232,2,70代,1,1,2,1,1,08,2,15,2.875,1,
13233,2,60代,2,1,3,1,0,07,2,3,2.133333333,1,
13234,1,60代,1,1,2,1,7,01,2,0,2.769230769,1,
13235,2,20代,7,2,1,1,1,02,2,0,1,4,
13236,1,70代,1,1,2,1,3,02,2,0,2.923076923,1,
13237,1,70代,2,1,4,1,2,08,2,2,1.777777778,1,
13238,1,50代,4,2,1,2,2,02,3,13,1,4,
13239,2,20代,2,2,4,1,2,02,3,6,1.875,1,
13240,1,30代,7,2,1,1,3,02,3,13,4,2,
13241,1,30代,1,2,3,1,3,02,3,2,1,4,
13242,1,20代,7,2,1,2,1,02,3,10,1,4,
13243,1,60代,5,0,9,9,0,02,3,0,1,6,
13244,1,60代,2,1,4,1,9,01,3,1,1.25,1,
13245,2,40代,1,2,1,1,3,02,3,5,1,4,
13246,1,20代,2,2,3,1,1,02,3,5,1,4,
13247,2,50代,5,1,4,1,1,12,3,1,1.5,1,
13248,1,20代,5,1,2,1,3,02,3,0,1.6,2,
13249,1,50代,1,1,4,1,3,03,3,1,3.75,2,
13250,1,30代,1,1,4,1,6,02,3,5,2.875,1,
13252,1,30代,7,2,1,2,3,02,3,2,1.428571429,1,
13253,1,40代,2,1,2,1,2,05,3,5,1.079365079,1,
13254,2,40代,2,1,1,1,2,02,3,5,1.1,1,
13255,2,20代,2,2,2,1,1,03,3,0,2,1,
13256,1,20代,2,2,2,1,0,06,3,4,1.25,1,
13257,2,20代,2,2,3,1,0,06,3,0,1.25,1,
13258,2,20代,5,2,3,1,1,02,2,0,1.166666667,1,
13259,1,60代,1,1,3,1,9,02,2,2,1,4,
13260,1,40代,3,1,4,1,6,03,3,5,1.375,1,
13261,2,20代,2,2,3,1,0,02,3,5,1.333333333,1,
13262,2,30代,7,2,1,1,4,02,3,1,1.2,1,
13263,1,50代,1,1,4,1,9,01,3,12,1,4,
13264,1,40代,1,1,4,1,2,02,2,3,2.818181818,1,
13265,1,60代,1,1,2,1,5,01,2,5,1.033333333,1,
13266,2,40代,2,1,2,1,4,02,2,0,1.733333333,1,
13267,2,20代,5,2,1,2,2,02,3,5,1,4,
13268,2,30代,2,2,3,1,3,02,2,0,2.083333333,1,
13269,2,50代,4,2,3,1,6,02,3,0,1.325,1,
13270,2,50代,2,1,4,1,0,04,2,3,1.545454545,1,
13271,1,30代,5,1,2,1,5,02,2,5,1.054545455,1,
13272,1,30代,5,1,2,1,5,02,2,0,1.012931034,1,
13273,1,30代,7,1,3,1,5,02,3,10,1,4,
13274,1,60代,1,1,3,1,5,02,3,15,3.727272727,1,
13275,1,40代,5,1,2,1,4,02,2,9,1.333333333,1,
13276,2,80代,1,2,1,2,4,01,2,0,1.5,2,
13277,2,40代,2,1,4,9,3,02,2,0,1.11,1,
13278,2,40代,4,1,2,1,2,02,2,0,1.163636364,1,
13279,2,20代,5,2,1,1,0,06,2,1,1.5,1,
13280,2,20代,5,2,1,1,0,06,2,5,1.033333333,1,
13281,1,70代,1,2,1,1,2,05,2,0,1.5,1,
13282,2,60代,1,2,1,1,3,02,2,0,1.5,1,
13283,2,70代,2,1,2,1,0,04,2,0,3.472727273,1,
13284,2,60代,5,1,2,1,1,07,2,0,2.363636364,1,
13285,2,50代,1,2,1,2,3,02,2,0,1.5,1,
13286,1,20代,3,1,2,1,2,02,2,1,2.363636364,1,
13287,2,50代,5,2,1,2,5,02,3,1,2.166666667,1,
13288,2,30代,7,2,1,2,2,02,2,6,1.833333333,1,
13289,2,30代,1,1,2,1,2,02,2,4,1.4,1,
13290,2,60代,2,1,2,1,0,07,2,14,2.05,1,
13291,2,60代,2,2,2,1,2,08,2,6,1.75,1,
13292,2,20代,2,2,2,1,1,02,2,5,1.05,1,
13293,2,40代,1,2,1,0,2,02,2,3,1.576923077,1,
13294,2,40代,1,1,4,1,9,01,3,0,1,4,
13295,1,40代,5,2,1,2,4,02,3,1,2.4,2,
13296,2,50代,5,2,1,2,2,05,3,4,1,4,
13297,1,40代,5,1,4,1,5,01,2,12,2.204545455,1,
13298,2,50代,1,1,2,1,1,02,2,2,1.5,2,
13299,1,40代,2,1,4,1,7,05,2,1,1.3,1,
13300,2,20代,4,1,2,1,2,02,2,5,2,1,
13301,2,40代,6,1,2,1,2,01,2,8,2.333333333,1,
13302,1,40代,1,1,4,1,5,02,2,0,2.5,1,
13303,1,20代,3,2,3,2,2,02,3,0,1,4,
13304,2,20代,7,2,1,1,1,02,2,7,1,4,
13305,2,40代,5,2,1,2,4,01,2,7,1.3,1,
13306,2,40代,2,2,2,1,1,02,2,9,1,4,
13307,2,70代,1,2,1,2,1,08,2,15,2.33,1,
13308,1,30代,7,2,1,2,6,02,2,5,1,4,
13309,1,30代,7,2,1,2,6,02,2,5,1,4,
13311,1,30代,2,1,3,1,4,03,2,2,1.875,2,
13312,1,60代,1,1,2,1,1,08,3,3,4.333333333,1,
13313,1,40代,1,1,4,1,6,02,3,4,1.208333333,1,
13315,1,30代,1,1,4,1,9,10,3,12,1,4,
13316,2,40代,2,2,1,1,1,02,3,1,2.833333333,1,
13317,2,40代,2,1,2,1,2,02,3,8,1.5,1,
13318,2,30代,5,2,9,9,0,07,3,0,3,1,
13319,2,20代,5,1,2,1,0,04,3,0,6,1,
13320,2,20代,2,2,4,1,0,06,3,4,1.06,1,
13321,2,30代,7,2,1,2,6,01,3,3,1,4,
13322,2,40代,5,2,1,2,1,02,3,17,1.628571429,1,
13323,2,30代,1,1,3,1,6,10,3,1,1,4,
13324,1,40代,5,1,2,1,2,11,3,13,1,4,
13325,2,50代,4,1,3,1,2,02,3,1,1.166666667,1,
13326,2,60代,2,1,3,1,2,08,3,3,1.375,1,
13327,1,30代,5,1,2,2,6,02,3,0,1,4,
13328,2,30代,5,2,1,1,3,02,2,0,1.25,1,
13329,1,40代,7,2,1,2,2,02,3,14,2,1,
13330,1,30代,1,1,4,1,2,02,2,2,1.125,1,
13331,1,10代,5,2,3,1,0,06,3,0,1,4,
13332,2,60代,1,1,3,1,3,02,2,0,2.253846154,1,
13333,2,20代,5,1,2,1,2,02,3,0,2.083333333,1,
13334,2,40代,1,1,3,1,1,02,2,9,2,1,
13335,2,20代,5,1,2,1,2,02,2,0,1.2,1,
13336,2,20代,7,2,1,1,2,02,2,7,1.272727273,1,
13337,2,40代,2,1,4,1,0,07,2,0,2,1,
13338,1,20代,7,2,1,2,2,02,2,0,1.416666667,1,
13339,1,50代,1,1,4,1,4,02,2,2,1.375,1,
13340,1,50代,1,1,4,1,9,01,2,12,3.75,2,
13341,2,40代,7,1,2,1,0,04,2,3,2.45,1,
13342,1,60代,1,1,2,1,6,01,3,3,6,1,
13343,1,40代,2,1,4,1,5,01,2,3,1.578947368,2,
13344,2,30代,7,1,2,1,2,02,3,11,1.366666667,1,
13345,2,40代,6,1,2,1,0,07,3,7,1.25,1,
13346,2,50代,5,2,1,2,3,02,3,3,1.133333333,1,
13348,1,60代,5,1,4,1,9,01,2,8,1,4,
13349,2,20代,3,2,1,2,1,02,2,13,1,4,
13350,2,20代,5,2,1,1,3,02,3,8,2.014285714,1,
13351,1,20代,2,2,4,1,1,06,2,9,3,1,
13352,2,60代,1,2,1,1,3,02,2,1,1.35,1,
13353,1,20代,5,1,3,1,7,02,2,0,1.461111111,1,
13354,2,50代,4,2,1,2,2,02,2,9,1.714285714,1,
13355,1,70代,1,1,2,1,1,08,2,0,2.428571429,1,
13356,1,70代,5,1,1,1,7,01,3,1,2.714285714,1,
13357,2,50代,1,1,2,1,4,02,2,13,1.033333333,1,
13358,1,40代,1,1,4,1,9,02,2,10,2.307692308,2,
13359,1,10代,2,2,3,1,0,06,3,5,1,4,
13360,1,60代,1,1,2,1,1,05,3,0,1.071428571,1,
13361,2,30代,7,2,1,1,1,05,2,6,1.818181818,1,
13362,1,60代,3,1,3,1,5,01,2,0,1.909090909,1,
13363,1,20代,7,2,1,1,2,02,2,9,1,4,
13364,2,30代,2,2,4,1,1,02,3,1,1,4,
13365,2,40代,2,2,1,1,7,02,3,1,1,4,
13366,2,50代,2,1,3,1,0,04,2,7,1.99,1,
13367,1,40代,2,1,4,1,9,02,2,16,1.217391304,1,
13368,1,60代,1,1,2,1,9,10,2,9,6.25,2,
13369,1,20代,2,2,1,1,1,06,3,1,1,4,
13370,1,50代,2,1,4,1,2,02,2,1,1.166666667,1,
13371,2,60代,2,1,2,1,1,07,2,3,2.1,1,
13372,2,20代,2,2,4,1,1,02,3,1,1.166666667,1,
13373,1,40代,3,1,4,1,8,02,2,10,2,1,
13374,2,30代,2,2,3,1,1,02,3,3,2.181818182,1,
13375,1,50代,5,1,2,1,5,02,2,8,1,4,
13376,2,40代,2,1,3,1,1,07,3,0,1,6,
13377,2,70代,2,1,2,1,0,04,2,3,2.285714286,1,
13378,2,60代,5,2,1,1,5,02,2,0,1,4,
13379,2,50代,5,2,1,2,2,07,3,5,1.06,1,
13380,1,40代,2,1,2,1,3,02,3,17,1,4,
13381,2,40代,2,1,2,1,1,02,3,0,1.5,1,
13382,2,20代,5,2,4,2,1,02,3,0,1,4,
13383,1,40代,5,1,3,1,2,05,3,17,2.4,1,
13384,2,20代,6,2,3,1,0,06,3,1,1.1,2,
13385,2,40代,1,1,3,1,3,03,3,14,1.541666667,1,
13386,1,30代,7,1,3,1,3,02,3,1,1.125,1,
13387,2,20代,2,2,3,1,1,03,3,0,1.5,1,
13388,2,30代,7,2,1,2,1,07,3,0,1.05,1,
13390,2,20代,7,2,2,2,2,02,3,10,1.4,1,
13391,2,60代,1,1,2,1,0,07,3,1,1.833333333,1,
13392,2,30代,5,2,1,1,4,10,3,1,1,4,
13393,2,20代,5,2,3,1,0,06,3,4,1,4,
13394,1,30代,1,2,3,1,3,02,3,7,1,4,
13395,2,30代,5,2,1,2,2,07,3,7,1.1,1,
13396,1,30代,3,2,1,1,3,02,3,2,2.6,1,
13397,1,40代,2,2,1,1,4,02,3,0,1.55,2,
13398,1,50代,1,1,2,1,9,02,3,0,1.033333333,1,
13400,2,40代,2,1,3,1,1,07,2,0,1.142857143,1,
13401,1,40代,1,1,2,1,5,02,3,14,1.739130435,2,
13402,1,30代,1,1,3,1,5,02,2,0,1,4,
13403,2,60代,2,1,2,1,0,04,2,14,1.66,1,
13404,1,40代,1,1,4,1,9,02,2,12,1.26,1,
13405,2,50代,2,2,3,1,3,02,2,9,1.125,1,
13406,1,40代,1,1,4,1,9,02,2,0,1.111111111,2,
13407,1,30代,5,2,1,1,2,02,2,2,3.333333333,1,
13408,2,60代,1,2,1,2,1,08,2,0,1.46,1,
13409,1,20代,2,2,3,1,0,06,2,0,1.571428571,1,
13410,2,60代,2,2,3,1,2,07,2,6,1.833333333,1,
13411,1,50代,1,1,2,1,9,02,3,0,1,4,
13412,2,20代,2,2,3,1,1,02,2,0,1,4,
13413,2,50代,2,2,1,1,4,02,2,0,2.666666667,2,
13414,1,40代,1,1,2,1,3,02,2,13,1.541666667,1,
13415,2,40代,2,1,3,1,1,02,2,1,1.125,2,
13416,2,20代,7,2,2,2,2,03,2,4,1.3,1,
13418,2,40代,2,2,1,1,2,02,2,1,1.04,1,
13419,2,70代,5,2,2,1,1,08,2,2,2.25,1,
13420,1,60代,1,1,4,1,3,03,2,3,2.153846154,1,
13421,2,60代,2,2,4,1,2,02,2,5,2.25,1,
13422,1,60代,1,1,3,9,2,12,2,6,2.14,1,
13423,1,60代,2,1,4,1,1,08,3,0,1.8,1,
13424,1,40代,1,1,3,1,6,02,2,5,1.25,1,
13425,1,50代,1,1,3,1,9,02,2,12,1.866666667,1,
13426,2,30代,1,2,1,2,3,02,2,7,1,4,
13427,1,70代,1,1,2,1,4,08,2,3,2.666666667,1,
13428,1,60代,3,1,2,1,4,01,3,1,1.555555556,1,
13429,1,50代,1,1,4,9,3,02,2,4,2.5,1,
13430,2,30代,7,1,2,1,1,02,2,0,2.2,1,
13431,2,70代,2,1,2,1,1,02,2,15,3.857142857,1,
13432,1,50代,1,1,2,1,9,01,2,1,1,4,
13433,2,70代,2,1,2,1,0,04,2,0,1.925,1,
13434,2,20代,2,2,4,1,0,06,2,1,3.5,1,
13435,2,60代,2,1,2,1,5,05,2,2,1.5,1,
13436,1,50代,6,1,4,2,6,02,3,0,1,4,
13437,2,50代,5,2,1,2,1,05,2,3,1.35483871,1,
13438,1,20代,2,2,4,1,3,02,2,9,1,4,
13439,1,40代,1,1,4,1,3,02,2,16,1.1,2,
13440,2,30代,4,2,1,1,2,02,3,11,6.5,2,
13441,1,50代,1,2,2,1,6,02,2,9,1.461538462,1,
13442,1,70代,1,1,2,1,1,08,2,2,1.5,2,
13443,1,50代,1,1,3,1,3,02,2,6,2,1,
13444,2,40代,5,1,3,1,9,02,3,10,1,4,
13445,1,60代,1,1,2,1,2,02,2,6,1.8375,1,
13446,1,20代,3,2,1,2,2,02,3,6,1.6,1,
13447,2,20代,5,2,1,2,2,02,3,4,1.25,1,
13448,1,30代,7,1,4,1,5,02,2,9,1.333333333,1,
13449,1,30代,7,2,1,2,1,05,3,0,1,4,
13450,1,20代,5,2,3,1,2,03,2,0,1,4,
13451,1,80代,1,2,2,1,1,08,2,3,1.875,1,
13452,1,40代,5,2,1,2,3,02,2,3,2.885714286,1,
13453,2,30代,5,1,4,1,6,02,2,13,1,4,
13454,1,70代,1,1,2,1,2,01,2,0,1.4875,1,
13455,1,20代,2,2,3,1,0,06,3,5,1,4,
13456,2,50代,2,1,3,1,6,10,2,9,1,4,
13457,1,80代,1,1,2,1,1,08,2,0,3,2,
13458,2,50代,5,2,1,2,2,12,3,5,1.25,1,
13459,2,50代,2,1,2,1,2,02,2,7,1.166666667,1,
13460,2,50代,1,0,1,0,9,10,3,1,2.875,2,
13462,2,60代,2,1,2,1,4,02,3,7,1,4,
13463,1,40代,5,2,4,1,5,02,2,5,1.69,2,
13464,2,60代,2,1,2,1,4,02,3,7,1,4,
13466,1,60代,5,2,1,2,1,08,2,6,3.25,1,
13467,1,60代,1,1,2,1,9,01,2,8,5,2,
13468,1,60代,1,1,2,1,1,05,2,9,2.4,1,
13469,2,40代,2,1,3,1,2,02,2,3,2,1,
13470,2,50代,2,1,4,1,1,07,3,8,1,4,
13471,1,60代,1,1,4,1,1,08,2,3,1.875,1,
13472,1,40代,2,2,3,1,4,02,2,3,1.5,1,
13474,1,50代,3,1,4,1,9,03,3,0,1.142857143,1,
13475,1,20代,5,2,1,1,2,02,3,0,1.117647059,1,
13476,2,30代,5,1,2,1,3,02,3,8,2.25,1,
13477,1,70代,1,2,1,1,1,08,2,15,2.2125,1,
13478,1,50代,1,1,2,1,5,02,2,0,1.209090909,1,
13479,2,70代,1,2,1,2,1,08,2,14,1.5,1,
13480,2,20代,5,2,1,2,6,02,3,17,1,4,
13481,1,30代,7,2,1,2,3,02,3,7,1,4,
13482,1,40代,1,1,3,1,9,02,3,14,1.053156146,1,
13483,1,30代,3,1,4,1,5,02,3,13,1.333333333,1,
13484,2,40代,5,2,1,2,1,02,3,1,1,4,
13485,1,20代,5,2,4,2,0,06,3,1,2,1,
13486,1,30代,5,2,1,1,4,02,3,5,1.125,1,
13487,2,20代,2,2,4,1,2,13,3,5,1,4,
13488,2,30代,5,1,2,1,1,03,3,0,1.333333333,1,
13489,1,40代,1,1,4,1,6,03,3,1,1.2,2,
13491,2,20代,5,1,2,1,3,02,3,11,4.571428571,1,
13492,1,20代,2,2,4,1,0,06,3,10,1.875,1,
13493,1,50代,5,1,2,1,6,02,3,15,2.666666667,1,
13494,1,30代,5,2,1,1,7,02,3,1,3.5,1,
13495,1,40代,1,1,2,2,7,03,3,4,2,1,
13496,2,40代,5,2,1,2,3,02,3,0,2.384615385,1,
13497,1,40代,5,1,3,1,3,02,3,0,1,4,
13499,2,50代,7,2,9,9,0,02,3,0,1,6,
13500,1,30代,2,2,4,1,3,02,3,4,1.285714286,1,
13501,2,40代,1,1,4,1,4,02,3,0,1.909090909,1,
13502,2,30代,6,2,1,2,6,02,3,1,1.166666667,1,
13503,1,50代,2,1,2,1,9,01,3,1,1.4,1,
13504,2,20代,2,2,4,1,1,03,2,0,2,1,
13505,2,50代,1,2,1,2,2,02,2,4,1,4,
13506,2,70代,2,1,2,1,0,04,2,9,2.444444444,1,
13507,2,40代,2,1,4,1,0,04,2,5,1.025,1,
13508,1,50代,2,1,4,1,5,03,2,6,1.2,2,
13509,2,20代,2,2,2,1,0,06,3,0,2.25,1,
13510,2,40代,2,1,4,1,3,03,2,9,1.923076923,1,
13511,1,50代,2,1,4,1,7,05,3,12,1.869565217,1,
13512,2,40代,2,1,3,1,1,05,2,10,1.016666667,1,
13513,1,70代,2,1,2,1,4,05,2,13,2,2,
13514,1,40代,1,2,1,2,4,02,2,2,2.1875,1,
13515,2,50代,5,2,1,1,1,02,3,4,1,4,
13516,1,60代,1,1,2,1,2,02,2,15,3,1,
13517,2,30代,5,2,1,1,7,02,2,7,1.307692308,1,
13518,1,50代,1,1,4,1,9,02,2,0,2.043478261,1,
13519,2,30代,2,2,3,1,2,13,3,0,1.333333333,1,
13520,2,30代,5,1,2,1,1,02,3,2,2.666666667,1,
13521,1,70代,1,1,3,1,1,08,2,2,1.933333333,1,
13522,2,40代,2,2,3,1,1,12,3,13,1.375,1,
13523,2,20代,2,2,3,1,1,02,3,4,2,1,
13524,2,30代,2,2,3,1,2,13,3,0,1,4,
13525,2,30代,5,2,1,2,3,03,3,0,2.333333333,1,
